abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3335520	125.0244785	C6H6O3	O3	CHO	6	6	3	0	0	0	0	126.0317549	125.0244176	0.483019638	0.483019638	125	124.884875	0.115124968	4	0.5	1	1	9.694745697	9	0.928337914	14	0.428571429	1.77E-05	1.024754328	1
3254946	125.0970824	C8H14O	O	CHO	8	14	1	0	0	0	0	126.1043589	125.0971886	-0.841944211	0.841944211	125	124.9573979	0.042602076	2	0.125	1.75	1	9.700343467	9	0.927802199	18	0.777777778	1.73109E-05	1	1
3623856	129.0193604	C5H6O4	O4	CHO	5	6	4	0	0	0	0	130.0266368	129.0193322	0.216571222	0.216571222	129	128.8752962	0.124703782	3	0.8	1.2	-1	10.00204682	9	0.899815824	12	0.5	1.92729E-05	1.113338286	1
3855144	129.1033703	C6H14N2O	N2O	CHNO	6	14	1	2	0	0	0	130.1106468	129.1033366	0.259109487	0.259109487	129	128.9592124	0.040787632	1	0.166666667	2.333333333	0	10.0085087	9	0.899234868	14	1	2.0503E-05	1.184395686	1
4515394	136.0767963	C8H11NO	NO	CHNO	8	11	1	1	0	0	0	137.0840728	136.0767875	0.06424517	0.06424517	136	135.9248518	0.075148231	4	0.125	1.375	3	10.544928	10	0.948323213	18	0.611111111	2.40144E-05	1.387240833	1
5417113	137.0608059	C8H10O2	O2	CHO	8	10	2	0	0	0	0	138.0680824	137.0608031	0.020225806	0.020225806	137	136.9077626	0.092237416	4	0.25	1.25	2	10.6206215	10	0.941564483	18	0.555555556	2.881E-05	1.664271235	2
4181844	138.0560495	C7H9NO2	NO2	CHNO	7	9	2	1	0	0	0	139.0633259	138.0560521	-0.018835582	0.018835582	138	137.9018948	0.098105151	4	0.285714286	1.285714286	2	10.69717912	10	0.934825891	16	0.5625	2.22405E-05	1.284766015	1
7842877	139.040078	C7H8O3	O3	CHO	7	8	3	0	0	0	0	140.0473545	139.0400677	0.074019261	0.074019261	139	138.8848246	0.115175357	4	0.428571429	1.142857143	1	10.77287262	10	0.928257518	16	0.5	4.17111E-05	2.409525995	2
7789715	139.07645	C8H12O2	O2	CHO	8	12	2	0	0	0	0	140.0837265	139.0764532	-0.022522574	0.022522574	139	138.921156	0.078843986	3	0.25	1.5	1	10.77567151	10	0.928016411	18	0.666666667	4.14283E-05	2.393193313	2
3389663	139.9676826	C3H5NOCl2	NOCl2	CHNOCl	3	5	1	1	0	0	2	140.9749591	139.9675433	0.988064708	0.988064708	140	139.8113935	0.188606535	1	0.333333333	1.666666667	0	10.84421691	7	0.645505347	8	0.625	1.80274E-05	1.041388398	1
6833986	141.0557182	C7H10O3	O3	CHO	7	10	3	0	0	0	0	142.0629946	141.0557177	0.002946714	0.002946714	141	140.8982141	0.101785923	3	0.428571429	1.428571429	0	10.92792263	10	0.915087006	16	0.625	3.63454E-05	2.099569701	2
6187729	143.0349863	C6H8O4	O4	CHO	6	8	4	0	0	0	0	144.0422627	143.0349823	0.027716062	0.027716062	143	142.8752721	0.124727859	3	0.666666667	1.333333333	-1	11.08017375	10	0.902512923	14	0.571428571	3.29084E-05	1.90102355	2
3422442	144.9977294	C5H8OP2	OP2	CHOP	5	8	1	0	0	2	0	146.0050059	144.9977614	-0.219043209	0.219043209	145	144.8358237	0.164176336	3	0.2	1.6	2	11.23115676	8	0.712304188	12	0.666666667	1.82017E-05	1.051458918	1
3361695	145.0659444	C10H10O	O	CHO	10	10	1	0	0	0	0	146.0732208	145.0658885	0.382718235	0.382718235	145	144.9039625	0.096037535	6	0.1	1	5	11.2363973	11	0.978961468	22	0.454545455	1.78786E-05	1.032795936	1
3425202	145.0729724	C4H10N4O2	N4O2	CHNO	4	10	2	4	0	0	0	146.0802488	145.0730991	-0.867674427	0.867674427	145	144.9109826	0.089017386	2	0.5	2.5	0	11.23695197	10	0.889921042	10	1	1.82164E-05	1.052306859	1
3885274	147.0815445	C10H12O	O	CHO	10	12	1	0	0	0	0	148.088821	147.0815386	0.040228021	0.040228021	147	146.9173119	0.082688056	5	0.1	1.2	4	11.39144731	11	0.965636736	22	0.545454545	2.06632E-05	1.193652368	1
3372828	148.0404391	C8H7NO2	NO2	CHNO	8	7	2	1	0	0	0	149.0477155	148.040402	0.248690031	0.248690031	148	147.8751358	0.124864187	6	0.25	0.875	4	11.46520604	11	0.959424538	18	0.388888889	1.79378E-05	1.036216269	1
7996955	149.0608096	C9H10O2	O2	CHO	9	10	2	0	0	0	0	150.0680861	149.0608031	0.043520158	0.043520158	149	148.894367	0.105632989	5	0.222222222	1.111111111	3	11.54369843	11	0.952900846	20	0.5	4.25305E-05	2.456862572	2
4406912	149.0971876	C10H14O	O	CHO	10	14	1	0	0	0	0	150.1044641	149.0971886	-0.006597163	0.006597163	149	148.9307044	0.069295625	4	0.1	1.4	3	11.54649731	11	0.952669862	22	0.636363636	2.34374E-05	1.353912477	1
3379327	150.0195472	C7H5NO3	NO3	CHNO	7	5	3	1	0	0	0	151.0268237	150.0196666	-0.790320426	0.790320426	150	149.8520341	0.147965945	6	0.428571429	0.714285714	3	11.61745716	11	0.94685092	16	0.3125	1.79724E-05	1.038212923	1
4109541	150.0560722	C8H9NO2	NO2	CHNO	8	9	2	1	0	0	0	151.0633487	150.0560521	0.133183209	0.133183209	150	149.8885183	0.111481745	5	0.25	1.125	3	11.62025604	11	0.946622859	18	0.5	2.18559E-05	1.262552743	1
