abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3190280	113.0067681	C5H6OS	OS	CHOS	5	6	1	0	1	0	0	114.0140445	113.0066591	0.956038203	0.956038203	113	112.8805837	0.119416273	3	0.2	1.2	2	8.770302734	7	0.798148047	12	0.5	1.72E-05	1	1
3772778	123.0451747	C7H8O2	O2	CHO	7	8	2	0	0	0	0	124.0524511	123.045153	0.174199069	0.174199069	123	122.9077813	0.092218684	4	0.285714286	1.142857143	2	9.542494577	9	0.943149606	16	0.5	2.03755E-05	1.182585228	1
4551516	125.0244146	C6H6O3	O3	CHO	6	6	3	0	0	0	0	126.031691	125.0244176	-0.024078196	0.024078196	125	124.8848112	0.115188807	4	0.5	1	1	9.694745697	9	0.928337914	14	0.428571429	2.45811E-05	1.426682297	1
4703101	125.0608126	C7H10O2	O2	CHO	7	10	2	0	0	0	0	126.068089	125.0608031	0.075026947	0.075026947	125	124.9211685	0.078831451	3	0.285714286	1.428571429	1	9.697544582	9	0.928069979	16	0.625	2.53998E-05	1.474196936	1
3226233	127.0222495	C6H8OS	OS	CHOS	6	8	1	0	1	0	0	128.0295259	127.0223092	-0.466068745	0.466068745	127	126.8804153	0.119584694	3	0.166666667	1.333333333	2	9.848429662	8	0.812312244	14	0.571428571	1.74238E-05	1.011269544	1
5280398	127.0400895	C6H8O3	O3	CHO	6	8	3	0	0	0	0	128.0473659	127.0400677	0.170359342	0.170359342	127	126.8982354	0.101764615	3	0.5	1.333333333	0	9.849795702	9	0.913724535	14	0.571428571	2.85176E-05	1.655151899	2
3586652	128.0353204	C5H7NO3	NO3	CHNO	5	7	3	1	0	0	0	129.0425969	128.0353166	0.029411627	0.029411627	128	127.8923551	0.107644942	3	0.6	1.4	0	9.926353315	9	0.906677378	12	0.583333333	1.93703E-05	1.12424364	1
3788435	129.0193374	C5H6O4	O4	CHO	5	6	4	0	0	0	0	130.0266139	129.0193322	0.039758225	0.039758225	129	128.8752733	0.124726747	3	0.8	1.2	-1	10.00204682	9	0.899815824	12	0.5	2.046E-05	1.187492947	1
5406115	131.0349893	C5H8O4	O4	CHO	5	8	4	0	0	0	0	132.0422658	131.0349823	0.053151989	0.053151989	131	130.8886745	0.111325529	2	0.8	1.6	-2	10.15709683	9	0.886079965	12	0.666666667	2.91965E-05	1.694558158	2
3650949	133.0659412	C9H10O	O	CHO	9	10	1	0	0	0	0	134.0732177	133.0658885	0.393316633	0.393316633	133	132.9173586	0.082641396	5	0.111111111	1.111111111	4	10.31332038	10	0.969619834	20	0.5	1.97175E-05	1.14439767	1
4343003	135.0815411	C9H12O	O	CHO	9	12	1	0	0	0	0	136.0888176	135.0815386	0.018972246	0.018972246	135	134.9307079	0.069292121	4	0.111111111	1.333333333	3	10.46837039	10	0.95525852	20	0.6	2.3455E-05	1.361323458	1
5542133	137.0244121	C7H6O3	O3	CHO	7	6	3	0	0	0	0	138.0316885	137.0244176	-0.040249074	0.040249074	137	136.8714094	0.128590632	5	0.428571429	0.857142857	2	10.61782262	10	0.941812682	16	0.375	2.99311E-05	1.737193287	2
12609349	137.060809	C8H10O2	O2	CHO	8	10	2	0	0	0	0	138.0680855	137.0608031	0.043003943	0.043003943	137	136.9077657	0.092234275	4	0.25	1.25	2	10.6206215	10	0.941564483	18	0.555555556	6.80987E-05	3.95242706	4
4562837	137.097199	C9H14O	O	CHO	9	14	1	0	0	0	0	138.1044755	137.0971886	0.075526821	0.075526821	137	136.9441151	0.05588491	3	0.111111111	1.555555556	2	10.62342039	10	0.941316415	20	0.7	2.46423E-05	1.430230889	1
7336956	138.056054	C7H9NO2	NO2	CHNO	7	9	2	1	0	0	0	139.0633305	138.0560521	0.013797737	0.013797737	138	137.9018994	0.098100618	4	0.285714286	1.285714286	2	10.69717912	10	0.934825891	16	0.5625	3.96243E-05	2.299784345	2
3333771	139.003727	C6H4O4	O4	CHO	6	4	4	0	0	0	0	140.0110034	139.0036822	0.319974222	0.319974222	139	138.8485142	0.151485839	5	0.666666667	0.666666667	1	10.77007374	10	0.92849875	14	0.285714286	1.80045E-05	1.044977557	1
11945184	139.040066	C7H8O3	O3	CHO	7	8	3	0	0	0	0	140.0473424	139.0400677	-0.012188492	0.012188492	139	138.8848126	0.115187417	4	0.428571429	1.142857143	1	10.77287262	10	0.928257518	16	0.5	6.45118E-05	3.744243139	4
