abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3594217	125.0244179	C6H6O3	O3	CHO	6	6	3	0	0	0	0	126.0316943	125.0244176	0.00231094	0.00231094	125	124.8848145	0.115185485	4	0.5	1	1	9.694745697	9	0.928337914	14	0.428571429	1.66E-05	1.069384397	1
4710922	125.0607989	C7H10O2	O2	CHO	7	10	2	0	0	0	0	126.0680753	125.0608031	-0.033429313	0.033429313	125	124.9211549	0.078845108	3	0.285714286	1.428571429	1	9.697544582	9	0.928069979	16	0.625	2.17516E-05	1.401636708	1
4699168	127.0400649	C6H8O3	O3	CHO	6	8	3	0	0	0	0	128.0473413	127.0400677	-0.021791351	0.021791351	127	126.8982108	0.101789192	3	0.5	1.333333333	0	9.849795702	9	0.913724535	14	0.571428571	2.16974E-05	1.39813955	1
3735025	128.0353199	C5H7NO3	NO3	CHNO	5	7	3	1	0	0	0	129.0425963	128.0353166	0.024994833	0.024994833	128	127.8923545	0.107645511	3	0.6	1.4	0	9.926353315	9	0.906677378	12	0.583333333	1.72456E-05	1.111278885	1
5207107	131.0349808	C5H8O4	O4	CHO	5	8	4	0	0	0	0	132.0422573	131.0349823	-0.010965098	0.010965098	131	130.888666	0.111333986	2	0.8	1.6	-2	10.15709683	9	0.886079965	12	0.666666667	2.40427E-05	1.549266219	2
4436366	135.0815218	C9H12O	O	CHO	9	12	1	0	0	0	0	136.0887983	135.0815386	-0.1230391	0.1230391	135	134.9306886	0.069311425	4	0.111111111	1.333333333	3	10.46837039	10	0.95525852	20	0.6	2.04839E-05	1.319948289	1
5295533	136.0767838	C8H11NO	NO	CHNO	8	11	1	1	0	0	0	137.0840603	136.0767875	-0.027198791	0.027198791	136	135.9248392	0.075160753	4	0.125	1.375	3	10.544928	10	0.948323213	18	0.611111111	2.44509E-05	1.575575533	2
5488052	137.0244028	C7H6O3	O3	CHO	7	6	3	0	0	0	0	138.0316792	137.0244176	-0.107327375	0.107327375	137	136.8714001	0.128599881	5	0.428571429	0.857142857	2	10.61782262	10	0.941812682	16	0.375	2.53399E-05	1.632855551	2
9197573	137.0607968	C8H10O2	O2	CHO	8	10	2	0	0	0	0	138.0680732	137.0608031	-0.045775962	0.045775962	137	136.9077535	0.092246519	4	0.25	1.25	2	10.6206215	10	0.941564483	18	0.555555556	4.24677E-05	2.736546252	3
4379221	137.0971698	C9H14O	O	CHO	9	14	1	0	0	0	0	138.1044462	137.0971886	-0.136315811	0.136315811	137	136.9440859	0.055914134	3	0.111111111	1.555555556	2	10.62342039	10	0.941316415	20	0.7	2.02201E-05	1.302945985	1
6195394	138.0560558	C7H9NO2	NO2	CHNO	7	9	2	1	0	0	0	139.0633322	138.0560521	0.026574394	0.026574394	138	137.9019012	0.098098843	4	0.285714286	1.285714286	2	10.69717912	10	0.934825891	16	0.5625	2.86058E-05	1.843310429	2
