abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3296945	125.0243998	C6H6O3	O3	CHO	6	6	3	0	0	0	0	126.0316763	125.0244176	-0.141190439	0.141190439	125	124.8847964	0.11520355	4	0.5	1	1	9.694745697	9	0.928337914	14	0.428571429	1.75E-05	1.012278961	1
4315329	127.0400668	C6H8O3	O3	CHO	6	8	3	0	0	0	0	128.0473433	127.0400677	-0.006600541	0.006600541	127	126.8982128	0.101787249	3	0.5	1.333333333	0	9.849795702	9	0.913724535	14	0.571428571	2.28529E-05	1.324958942	1
3438252	129.0305328	C4H6N2O3	N2O3	CHNO	4	6	3	2	0	0	0	130.0378093	129.0305656	-0.252105597	0.252105597	129	128.8864562	0.113543808	3	0.75	1.5	0	10.00291093	9	0.899738093	10	0.6	1.82081E-05	1.055665218	1
3256953	131.0349799	C5H8O4	O4	CHO	5	8	4	0	0	0	0	132.0422563	131.0349823	-0.018490644	0.018490644	131	130.888665	0.111334978	2	0.8	1.6	-2	10.15709683	9	0.886079965	12	0.666666667	1.7248E-05	1	1
3291816	136.0153729	C5H3N3O2	N3O2	CHNO	5	3	2	3	0	0	0	137.0226493	136.0152499	0.897462481	0.897462481	136	135.8634969	0.136503097	6	0.4	0.6	4	10.54019434	10	0.94874911	12	0.25	1.74326E-05	1.010704177	1
3463852	136.0171009	C4H8NO2Cl	NO2Cl	CHNOCl	4	8	2	1	0	0	1	137.0243773	136.0170801	0.152002136	0.152002136	136	135.865223	0.134777027	1	0.5	2	-1	10.54033512	8	0.758989151	10	0.8	1.83437E-05	1.063525326	1
3891029	137.0608169	C8H10O2	O2	CHO	8	10	2	0	0	0	0	138.0680933	137.0608031	0.099794048	0.099794048	137	136.9077736	0.092226443	4	0.25	1.25	2	10.6206215	10	0.941564483	18	0.555555556	2.06059E-05	1.194683804	1
3526629	138.0560599	C7H9NO2	NO2	CHNO	7	9	2	1	0	0	0	139.0633363	138.0560521	0.05615668	0.05615668	138	137.9019053	0.098094734	4	0.285714286	1.285714286	2	10.69717912	10	0.934825891	16	0.5625	1.86761E-05	1.08280009	1
6920866	139.0400659	C7H8O3	O3	CHO	7	8	3	0	0	0	0	140.0473424	139.0400677	-0.012619136	0.012619136	139	138.8848125	0.115187477	4	0.428571429	1.142857143	1	10.77287262	10	0.928257518	16	0.5	3.66512E-05	2.124951143	2
4279030	139.0764569	C8H12O2	O2	CHO	8	12	2	0	0	0	0	140.0837334	139.0764532	0.026610226	0.026610226	139	138.9211629	0.078837111	3	0.25	1.5	1	10.77567151	10	0.928016411	18	0.666666667	2.26607E-05	1.313813862	1
