abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3298369	124.9567623	C3H4OCl2	OCl2	CHOCl	3	4	1	0	0	0	2	125.9640388	124.9566443	0.937041424	0.937041424	125	124.8172345	0.182765506	1	0.333333333	1.333333333	0	9.689532365	6	0.61922493	8	0.5	7.74E-06	1	1
3501833	161.9519155	C5H3NOCl2	NOCl2	CHNOCl	5	3	1	1	0	0	2	162.959192	161.9518933	0.136559771	0.136559771	162	161.7710786	0.228921429	4	0.2	0.6	3	12.53532075	9	0.717971257	12	0.25	8.2214E-06	1.061686246	1
5334027	166.9987195	C7H4O5	O5	CHO	7	4	5	0	0	0	0	168.0059959	166.9985968	0.730177038	0.730177038	167	166.8122472	0.187752801	6	0.714285714	0.571428571	1	12.92352871	12	0.928538967	16	0.25	1.25229E-05	1.617171093	2
5043669	171.0088202	C10H4O3	O3	CHO	10	4	3	0	0	0	0	172.0160967	171.0087675	0.306297316	0.306297316	171	170.8178703	0.182129746	9	0.3	0.4	6	13.23200338	13	0.982466496	22	0.181818182	1.18412E-05	1.529140311	2
28589682	171.0886432	C6H12N4O2	N4O2	CHNO	6	12	2	4	0	0	0	172.0959196	171.0887492	-0.616160681	0.616160681	171	170.8976041	0.102395941	3	0.333333333	2	1	13.23815582	12	0.906470672	14	0.857142857	6.71212E-05	8.667824006	9
4013617	177.0529734	C6H6N6O	N6O	CHNO	6	6	1	6	0	0	0	178.0602498	177.0530324	-0.331600533	0.331600533	177	176.8552744	0.144725571	7	0.166666667	1	6	13.69694684	13	0.949116628	14	0.428571429	9.42294E-06	1.216848994	1
13083356	182.9936896	C7H4O6	O6	CHO	7	4	6	0	0	0	0	184.000966	182.9935114	0.968287392	0.968287392	183	182.7893572	0.210642814	6	0.857142857	0.571428571	0	14.15390676	13	0.918474328	16	0.25	3.07164E-05	3.966613802	4
28371596	185.02444	C11H6O3	O3	CHO	11	6	3	0	0	0	0	186.0317164	185.0244176	0.120120702	0.120120702	185	184.81784	0.18215999	9	0.272727273	0.545454545	6	14.31013031	14	0.978327918	24	0.25	6.66092E-05	8.601704661	9
7483570	193.0872089	C11H14O3	O3	CHO	11	14	3	0	0	0	0	194.0944853	193.0870179	0.984101274	0.984101274	193	192.871606	0.128394032	5	0.272727273	1.272727273	2	14.93033033	14	0.937688563	24	0.583333333	1.75695E-05	2.268869857	2
3701882	195.0543736	C6H13N2O3Cl	N2O3Cl	CHNOCl	6	13	3	2	0	0	1	196.06165	195.0541938	0.916740029	0.916740029	195	194.8365741	0.163425874	1	0.5	2.166666667	-2	15.08165156	12	0.795668827	14	0.928571429	8.69107E-06	1.122337131	1
4470310	196.0171589	C9H8NO2Cl	NO2Cl	CHNOCl	9	8	2	1	0	0	1	197.0244354	196.0170801	0.400331833	0.400331833	196	195.7982844	0.201715581	6	0.222222222	0.888888889	4	15.15571973	13	0.857761969	20	0.4	1.04951E-05	1.355309245	1
467920832	197.0245883	C12H6O3	O3	CHO	12	6	3	0	0	0	0	198.0318647	197.0244176	0.861924918	0.861924918	197	196.8045889	0.195411121	10	0.25	0.5	7	15.23320724	15	0.984690864	26	0.230769231	0.001098558	141.8643069	142
8239437	198.0198207	C11H5NO3	NO3	CHNO	11	5	3	1	0	0	0	199.0270971	198.0196666	0.774131929	0.774131929	198	197.79871	0.201290046	10	0.272727273	0.454545455	7	15.30976485	15	0.979766845	24	0.208333333	1.93441E-05	2.498033725	2
4324033	199.0372204	C8H4N6O	N6O	CHNO	8	4	1	6	0	0	0	200.0444968	199.0373823	-0.809596519	0.809596519	199	198.8149736	0.185026352	10	0.125	0.5	9	15.38805068	15	0.974782337	18	0.222222222	1.01517E-05	1.310960963	1
