abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
2353043	129.0669886	C5H10N2O2	N2O2	CHNO	5	10	2	2	0	0	0	130.0742651	129.0669511	0.288328675	0.288328675	129	128.9228713	0.077128722	2	0.4	2	0	10.00570981	9	0.89948641	12	0.833333333	7.53E-05	1.008139949	1
2334044	152.0351848	C7H7NO3	NO3	CHNO	7	7	3	1	0	0	0	153.0424613	152.0353166	-0.861315888	0.861315888	152	151.865421	0.134579018	5	0.428571429	1	2	11.77250716	11	0.934380404	16	0.4375	7.46908E-05	1	1
2719144	158.0248328	C9H5NO2	NO2	CHNO	9	5	2	1	0	0	0	159.0321093	158.024752	0.508554474	0.508554474	158	157.8483809	0.151619104	8	0.222222222	0.555555556	6	12.23323295	12	0.980934479	20	0.25	8.70142E-05	1.164992605	1
2627929	161.0738733	C8H15OCl	OCl	CHOCl	8	15	1	0	0	0	1	162.0811498	161.0738666	0.04122849	0.04122849	161	160.8940168	0.105983195	1	0.125	1.875	0	12.46778024	10	0.802067394	18	0.833333333	8.40953E-05	1.125912365	1
2656998	171.0817097	C12H12O	O	CHO	12	12	1	0	0	0	0	172.0889861	171.0815386	0.994375454	0.994375454	171	170.8906783	0.109321691	7	0.083333333	1	6	13.23760115	13	0.982051041	26	0.461538462	8.50255E-05	1.138366715	1
20438110	173.0218244	C6H2N6O	N6O	CHNO	6	2	1	6	0	0	0	174.0291008	173.0217323	0.529074957	0.529074957	173	172.8286266	0.171373362	9	0.166666667	0.333333333	8	13.38684683	13	0.971102469	14	0.142857143	0.000654031	8.756523013	9
2729100	173.0607723	C11H10O2	O2	CHO	11	10	2	0	0	0	0	174.0680488	173.0608031	-0.176741854	0.176741854	173	172.8675311	0.132468858	7	0.181818182	0.909090909	5	13.38985227	13	0.970884498	24	0.416666667	8.73328E-05	1.169258163	1
6427901	174.970791	C5H4O5S	O5S	CHOS	5	4	5	0	1	0	0	175.9780675	174.9706675	0.701866718	0.701866718	175	174.7754171	0.224582918	4	1	0.8	-1	13.53676492	11	0.812601834	12	0.333333333	0.000205697	2.753975932	3
2507895	179.0672644	C5H12N2O5	N2O5	CHNO	5	12	5	2	0	0	0	180.0745408	179.0673451	-0.448176095	0.448176095	179	178.8673162	0.132683755	1	1	2.4	-4	13.85189396	12	0.866307527	12	1	8.02541E-05	1.074484885	1
2475116	183.0201037	C10H4N2O2	N2O2	CHNO	10	4	2	2	0	0	0	184.0273801	183.0200009	0.558408884	0.558408884	183	182.8157418	0.184258185	10	0.2	0.4	8	14.15594441	14	0.988983821	22	0.181818182	7.92052E-05	1.06044102	1
