abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3865058	110.9909926	C5H4OS	OS	CHOS	5	4	1	0	1	0	0	111.9982691	110.991009	-0.146475465	0.146475465	111	110.8670591	0.132940911	4	0.2	0.8	3	8.615252729	7	0.812512438	12	0.333333333	1.83E-05	1.144386211	1
3804919	137.0608178	C8H10O2	O2	CHO	8	10	2	0	0	0	0	138.0680943	137.0608031	0.106650586	0.106650586	137	136.9077745	0.092225497	4	0.25	1.25	2	10.6206215	10	0.941564483	18	0.555555556	1.79789E-05	1.126579947	1
3377407	139.0400525	C7H8O3	O3	CHO	7	8	3	0	0	0	0	140.0473289	139.0400677	-0.108512116	0.108512116	139	138.8847991	0.115200892	4	0.428571429	1.142857143	1	10.77287262	10	0.928257518	16	0.5	1.59589E-05	1	1
4115286	139.0764595	C8H12O2	O2	CHO	8	12	2	0	0	0	0	140.0837359	139.0764532	0.044910166	0.044910166	139	138.9211654	0.078834551	3	0.25	1.5	1	10.77567151	10	0.928016411	18	0.666666667	1.94455E-05	1.218475002	1
3832205	141.9699869	C5H2NO2Cl	NO2Cl	CHNOCl	5	2	2	1	0	0	1	142.9772634	141.9701299	-0.999658593	0.999658593	142	141.811462	0.188538021	5	0.4	0.4	3	10.99826202	9	0.81831111	12	0.166666667	1.81079E-05	1.134658926	1
3415653	143.0350107	C6H8O4	O4	CHO	6	8	4	0	0	0	0	144.0422872	143.0349823	0.19749352	0.19749352	143	142.8752966	0.124703431	3	0.666666667	1.333333333	-1	11.08017375	10	0.902512923	14	0.571428571	1.61396E-05	1.011324072	1
3688789	149.0972126	C10H14O	O	CHO	10	14	1	0	0	0	0	150.1044891	149.0971886	0.159954814	0.159954814	149	148.9307293	0.069270653	4	0.1	1.4	3	11.54649731	11	0.952669862	22	0.636363636	1.74302E-05	1.092195581	1
3457481	150.9472913	C3H2N2OCl2	N2OCl2	CHNOCl	3	2	1	2	0	0	2	151.9545677	150.9471422	0.980808112	0.980808112	151	150.7787422	0.221257807	3	0.333333333	0.666666667	2	11.68880144	8	0.684415767	8	0.25	1.63372E-05	1.023708721	1
4755153	151.0400603	C8H8O3	O3	CHO	8	8	3	0	0	0	0	152.0473367	151.0400677	-0.048668785	0.048668785	151	150.8714076	0.128592411	5	0.375	1	2	11.69594955	11	0.940496533	18	0.444444444	2.24689E-05	1.407930107	1
3903288	151.0764693	C9H12O2	O2	CHO	9	12	2	0	0	0	0	152.0837457	151.0764532	0.105784193	0.105784193	151	150.9077759	0.092224072	4	0.222222222	1.333333333	2	11.69874843	11	0.940271522	20	0.6	1.84437E-05	1.155705546	1
3825862	153.0193379	C7H6O4	O4	CHO	7	6	4	0	0	0	0	154.0266144	153.0193322	0.036864783	0.036864783	153	152.8484751	0.151524853	5	0.571428571	0.857142857	1	11.84820067	11	0.928411014	16	0.375	1.80779E-05	1.132780858	1
4803885	153.0557119	C8H10O3	O3	CHO	8	10	3	0	0	0	0	154.0629884	153.0557177	-0.037866462	0.037866462	153	152.8848085	0.115191475	4	0.375	1.25	1	11.85099955	11	0.928191749	18	0.555555556	2.26992E-05	1.422358928	1
5724564	153.0921209	C9H14O2	O2	CHO	9	14	2	0	0	0	0	154.0993973	153.0921032	0.114563688	0.114563688	153	152.9211769	0.078823137	3	0.222222222	1.555555556	1	11.85379844	11	0.927972587	20	0.7	2.70496E-05	1.694958292	2
3509105	155.0713805	C8H12O3	O3	CHO	8	12	3	0	0	0	0	156.078657	155.0713678	0.081576275	0.081576275	155	154.8982264	0.101773559	3	0.375	1.5	0	12.00604956	11	0.916204781	18	0.666666667	1.65811E-05	1.03899382	1
3682572	157.0506522	C7H10O4	O4	CHO	7	10	4	0	0	0	0	158.0579286	157.0506324	0.125336537	0.125336537	157	156.875288	0.124711995	3	0.571428571	1.428571429	-1	12.15830068	11	0.904731697	16	0.625	1.74008E-05	1.09035482	1
3614312	159.0451768	C10H8O2	O2	CHO	10	8	2	0	0	0	0	160.0524533	159.045153	0.148405417	0.148405417	159	158.8675855	0.132414465	7	0.2	0.8	5	12.31172535	12	0.974680612	22	0.363636364	1.70783E-05	1.070144048	1
14179974	160.9761054	C4H3N2O3Cl	N2O3Cl	CHNOCl	4	3	3	2	0	0	1	161.9833819	160.9759435	0.999612075	0.999612075	161	160.7963581	0.203641912	4	0.75	0.75	1	12.46024769	10	0.802552264	10	0.3	6.70029E-05	4.198479484	4
5963621	161.0607854	C10H10O2	O2	CHO	10	10	2	0	0	0	0	162.0680619	161.0608031	-0.109097388	0.109097388	161	160.8809435	0.119056482	6	0.2	1	4	12.46677535	12	0.962558453	22	0.454545455	2.81792E-05	1.765739516	2
