abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3644213	116.0142166	C7H3NO	NO	CHNO	7	3	1	1	0	0	0	117.0214931	116.0141873	0.250630425	0.250630425	116	115.8846741	0.115325908	7	0.142857143	0.428571429	6	9.001651056	9	0.999816583	16	0.1875	1.08E-05	1	1
3859131	131.0349818	C5H8O4	O4	CHO	5	8	4	0	0	0	0	132.0422582	131.0349823	-0.003860454	0.003860454	131	130.888667	0.111333049	2	0.8	1.6	-2	10.15709683	9	0.886079965	12	0.666666667	1.14694E-05	1.058975148	1
4716234	133.0294737	C8H6O2	O2	CHO	8	6	2	0	0	0	0	134.0367502	133.029503	-0.218146785	0.218146785	133	132.8809318	0.119068155	6	0.25	0.75	4	10.3105215	10	0.969883047	18	0.333333333	1.40168E-05	1.294170785	1
5754433	137.0244257	C7H6O3	O3	CHO	7	6	3	0	0	0	0	138.0317021	137.0244176	0.058379493	0.058379493	137	136.871423	0.128577033	5	0.428571429	0.857142857	2	10.61782262	10	0.941812682	16	0.375	1.71023E-05	1.579060554	2
4134960	138.0560341	C7H9NO2	NO2	CHNO	7	9	2	1	0	0	0	139.0633106	138.0560521	-0.12914722	0.12914722	138	137.9018795	0.098120474	4	0.285714286	1.285714286	2	10.69717912	10	0.934825891	16	0.5625	1.22892E-05	1.134664741	1
4241712	139.0036976	C6H4O4	O4	CHO	6	4	4	0	0	0	0	140.0109741	139.0036822	0.110486349	0.110486349	139	138.8484849	0.151515137	5	0.666666667	0.666666667	1	10.77007374	10	0.92849875	14	0.285714286	1.26065E-05	1.163958309	1
8040840	139.0400466	C7H8O3	O3	CHO	7	8	3	0	0	0	0	140.0473231	139.0400677	-0.150341482	0.150341482	139	138.8847933	0.115206743	4	0.428571429	1.142857143	1	10.77287262	10	0.928257518	16	0.5	2.38976E-05	2.206468173	2
5542368	139.0764466	C8H12O2	O2	CHO	8	12	2	0	0	0	0	140.083723	139.0764532	-0.046966	0.046966	139	138.9211526	0.078847407	3	0.25	1.5	1	10.77567151	10	0.928016411	18	0.666666667	1.64721E-05	1.520868292	2
5712863	141.0193489	C6H6O4	O4	CHO	6	6	4	0	0	0	0	142.0266254	141.0193322	0.11748977	0.11748977	141	140.8618855	0.13811455	4	0.666666667	1	0	10.92512374	10	0.91532144	14	0.428571429	1.69788E-05	1.567653428	2
5821491	141.0557289	C7H10O3	O3	CHO	7	10	3	0	0	0	0	142.0630054	141.0557177	0.078639815	0.078639815	141	140.8982248	0.101775181	3	0.428571429	1.428571429	0	10.92792263	10	0.915087006	16	0.625	1.73016E-05	1.597461784	2
