abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3583895	119.0269773	C5H9OCl	OCl	CHOCl	5	9	1	0	0	0	1	120.0342538	119.0269165	0.507230698	0.507230698	119	118.8940708	0.105929244	1	0.2	1.8	0	9.233399455	7	0.758117315	12	0.75	1.64E-05	1.118104146	1
3205332	124.0515526	C5H7N3O	N3O	CHNO	5	7	1	3	0	0	0	125.058829	124.0516354	-0.662343236	0.662343236	124	123.9130355	0.086964488	4	0.2	1.4	3	9.619916298	9	0.935559076	12	0.583333333	1.46761E-05	1	1
5534994	125.0244192	C6H6O3	O3	CHO	6	6	3	0	0	0	0	126.0316957	125.0244176	0.012989918	0.012989918	125	124.8848159	0.11518414	4	0.5	1	1	9.694745697	9	0.928337914	14	0.428571429	2.53429E-05	1.726808331	2
5123379	125.0608072	C7H10O2	O2	CHO	7	10	2	0	0	0	0	126.0680837	125.0608031	0.032673663	0.032673663	125	124.9211632	0.078836784	3	0.285714286	1.428571429	1	9.697544582	9	0.928069979	16	0.625	2.34582E-05	1.598392616	2
6500201	127.0400715	C6H8O3	O3	CHO	6	8	3	0	0	0	0	128.047348	127.0400677	0.030206737	0.030206737	127	126.8982175	0.101782541	3	0.5	1.333333333	0	9.849795702	9	0.913724535	14	0.571428571	2.97622E-05	2.027933768	2
3758669	128.0353102	C5H7NO3	NO3	CHNO	5	7	3	1	0	0	0	129.0425866	128.0353166	-0.050029425	0.050029425	128	127.8923448	0.107655182	3	0.6	1.4	0	9.926353315	9	0.906677378	12	0.583333333	1.72097E-05	1.172630167	1
4352465	129.0557228	C6H10O3	O3	CHO	6	10	3	0	0	0	0	130.0629993	129.0557177	0.039201342	0.039201342	129	128.9116181	0.088381941	2	0.5	1.666666667	-1	10.00484571	9	0.899564098	14	0.714285714	1.99285E-05	1.35788274	1
4163042	131.0349791	C5H8O4	O4	CHO	5	8	4	0	0	0	0	132.0422556	131.0349823	-0.023875438	0.023875438	131	130.8886643	0.111335689	2	0.8	1.6	-2	10.15709683	9	0.886079965	12	0.666666667	1.90612E-05	1.298786522	1
3353090	133.0658824	C9H10O	O	CHO	9	10	1	0	0	0	0	134.0731589	133.0658885	-0.045201092	0.045201092	133	132.9172999	0.082700124	5	0.111111111	1.111111111	4	10.31332038	10	0.969619834	20	0.5	1.53527E-05	1.046097565	1
4044679	134.0611191	C8H9NO	NO	CHNO	8	9	1	1	0	0	0	135.0683955	134.0611375	-0.136109349	0.136109349	134	133.9114252	0.088574763	5	0.125	1.125	4	10.38987799	10	0.96247521	18	0.5	1.85192E-05	1.261859614	1
6133661	135.0815317	C9H12O	O	CHO	9	12	1	0	0	0	0	136.0888082	135.0815386	-0.050184148	0.050184148	135	134.9306985	0.069301522	4	0.111111111	1.333333333	3	10.46837039	10	0.95525852	20	0.6	2.8084E-05	1.913580559	2
4332427	136.0404054	C7H7NO2	NO2	CHNO	7	7	2	1	0	0	0	137.0476818	136.040402	0.024551363	0.024551363	136	135.8885015	0.111498544	5	0.285714286	1	3	10.54212911	10	0.948574988	16	0.4375	1.98367E-05	1.351631282	1
8383450	136.0767854	C8H11NO	NO	CHNO	8	11	1	1	0	0	0	137.0840618	136.0767875	-0.015708064	0.015708064	136	135.9248408	0.075159179	4	0.125	1.375	3	10.544928	10	0.948323213	18	0.611111111	3.8385E-05	2.615470098	3
5722111	137.02441	C7H6O3	O3	CHO	7	6	3	0	0	0	0	138.0316865	137.0244176	-0.054789448	0.054789448	137	136.8714074	0.128592637	5	0.428571429	0.857142857	2	10.61782262	10	0.941812682	16	0.375	2.61996E-05	1.785185123	2
13142096	137.060799	C8H10O2	O2	CHO	8	10	2	0	0	0	0	138.0680755	137.0608031	-0.029555823	0.029555823	137	136.9077557	0.092244282	4	0.25	1.25	2	10.6206215	10	0.941564483	18	0.555555556	6.01732E-05	4.100073253	4
5008034	137.097185	C9H14O	O	CHO	9	14	1	0	0	0	0	138.1044615	137.0971886	-0.026058174	0.026058174	137	136.9441011	0.055898924	3	0.111111111	1.555555556	2	10.62342039	10	0.941316415	20	0.7	2.29301E-05	1.562407264	2
11000109	138.0560477	C7H9NO2	NO2	CHNO	7	9	2	1	0	0	0	139.0633241	138.0560521	-0.031672895	0.031672895	138	137.9018931	0.098106934	4	0.285714286	1.285714286	2	10.69717912	10	0.934825891	16	0.5625	5.03658E-05	3.431815799	3
13453881	139.0400613	C7H8O3	O3	CHO	7	8	3	0	0	0	0	140.0473378	139.0400677	-0.045212772	0.045212772	139	138.884808	0.115192037	4	0.428571429	1.142857143	1	10.77287262	10	0.928257518	16	0.5	6.16008E-05	4.197343988	4
11178640	139.0764473	C8H12O2	O2	CHO	8	12	2	0	0	0	0	140.0837238	139.0764532	-0.041760476	0.041760476	139	138.9211533	0.078846678	3	0.25	1.5	1	10.77567151	10	0.928016411	18	0.666666667	5.11832E-05	3.48751393	3
7791921	141.0193276	C6H6O4	O4	CHO	6	6	4	0	0	0	0	142.0266041	141.0193322	-0.032269607	0.032269607	141	140.8618642	0.138135796	4	0.666666667	1	0	10.92512374	10	0.91532144	14	0.428571429	3.56766E-05	2.430924784	2
9241996	141.0557076	C7H10O3	O3	CHO	7	10	3	0	0	0	0	142.0629841	141.0557177	-0.071103498	0.071103498	141	140.8982036	0.101796431	3	0.428571429	1.428571429	0	10.92792263	10	0.915087006	16	0.625	4.2316E-05	2.883319419	3
4363634	142.0509443	C6H9NO3	NO3	CHNO	6	9	3	1	0	0	0	143.0582207	142.0509667	-0.156754315	0.156754315	142	141.8923289	0.107671069	3	0.5	1.5	0	11.00448024	10	0.908720792	14	0.642857143	1.99796E-05	1.361367247	1
11489647	143.0349859	C6H8O4	O4	CHO	6	8	4	0	0	0	0	144.0422624	143.0349823	0.02518747	0.02518747	143	142.8752718	0.124728223	3	0.666666667	1.333333333	-1	11.08017375	10	0.902512923	14	0.571428571	5.26072E-05	3.584541944	4
3727823	143.0713919	C7H12O3	O3	CHO	7	12	3	0	0	0	0	144.0786684	143.0713678	0.167353364	0.167353364	143	142.9116371	0.088362885	2	0.428571429	1.714285714	-1	11.08297263	10	0.902285003	16	0.75	1.70684E-05	1.163006827	1
3876834	144.0453686	C9H7NO	NO	CHNO	9	7	1	1	0	0	0	145.0526451	144.0454874	-0.818859842	0.818859842	144	143.8845263	0.115473722	7	0.111111111	0.777777778	6	11.15790491	11	0.985848158	20	0.35	1.77507E-05	1.209495303	1
6550033	145.0142523	C5H6O5	O5	CHO	5	6	5	0	0	0	0	146.0215288	145.0142469	0.037578544	0.037578544	145	144.8523281	0.147671872	3	1	1.2	-2	11.23242487	10	0.890279714	12	0.5	2.99904E-05	2.043480363	2
3449402	145.0295403	C9H6O2	O2	CHO	9	6	2	0	0	0	0	146.0368168	145.029503	0.255755224	0.255755224	145	144.8675991	0.132400947	7	0.222222222	0.666666667	5	11.23359842	11	0.979205379	20	0.3	1.57936E-05	1.076144998	1
