abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3258952	118.9809096	C3H4O3S	O3S	CHOS	3	4	3	0	1	0	0	119.9881861	118.9808383	0.594585482	0.594585482	119	118.8480545	0.151945531	2	1	1.333333333	-1	9.229854979	7	0.758408449	8	0.5	5.65E-05	1.008511667	1
3231447	128.0829598	C5H11N3O	N3O	CHNO	5	11	1	3	0	0	0	129.0902363	128.0829355	0.188030555	0.188030555	128	127.9399412	0.060058761	2	0.2	2.2	1	9.930016307	9	0.906342922	12	0.916666667	5.60699E-05	1	1
3613862	135.0087833	C7H4O3	O3	CHO	7	4	3	0	0	0	0	136.0160598	135.0087675	0.115969505	0.115969505	135	134.8580313	0.141968698	6	0.428571429	0.571428571	3	10.46277261	10	0.9557696	16	0.25	6.27053E-05	1.118341721	1
3603330	156.969937	C6H3O3Cl	O3Cl	CHOCl	6	3	3	0	0	0	1	157.9772135	156.9697955	0.895767016	0.895767016	157	156.794663	0.205337013	5	0.5	0.5	2	12.15208246	10	0.822904225	14	0.214285714	6.25226E-05	1.1150825	1
4656355	157.0981268	C7H14N2O2	N2O2	CHNO	7	14	2	2	0	0	0	158.1054033	157.0982513	-0.786987454	0.786987454	157	156.9227097	0.077290345	2	0.285714286	2	0	12.16196367	11	0.904459206	16	0.875	8.0794E-05	1.440950447	1
4211062	169.1347696	C9H18N2O	N2O	CHNO	9	18	1	2	0	0	0	170.142046	169.1346368	0.780637334	0.780637334	169	168.9459122	0.054087816	2	0.111111111	2	1	13.08783948	12	0.916881661	20	0.9	7.30676E-05	1.30315057	1
9595121	171.1138056	C8H16N2O2	N2O2	CHNO	8	16	2	2	0	0	0	172.121082	171.1139013	-0.556234252	0.556234252	171	170.9227384	0.077261626	2	0.25	2	0	13.2400906	12	0.906338209	18	0.888888889	0.000166488	2.969295489	3
3807543	171.1503035	C9H20N2O	N2O	CHNO	9	20	1	2	0	0	0	172.15758	171.1502868	0.097002554	0.097002554	171	170.9591956	0.040804435	1	0.111111111	2.222222222	0	13.24288948	12	0.906146654	20	1	6.6066E-05	1.178278028	1
4060994	173.1294145	C8H18N2O2	N2O2	CHNO	8	18	2	2	0	0	0	174.136691	173.1295514	-0.785930078	0.785930078	173	172.9360967	0.063903329	1	0.25	2.25	-1	13.3951406	12	0.89584726	18	1	7.04637E-05	1.256710693	1
5529107	184.028466	C7H8N3OCl	N3OCl	CHNOCl	7	8	1	3	0	0	1	185.0357425	184.0283134	0.824439726	0.824439726	184	183.8229782	0.177021831	5	0.142857143	1.142857143	4	14.23350692	12	0.843081053	16	0.5	9.59374E-05	1.711031312	2
8019141	199.0511203	C11H8N2O2	N2O2	CHNO	11	8	2	2	0	0	0	200.0583967	199.0513011	-0.903583595	0.903583595	199	198.828858	0.171141966	9	0.181818182	0.727272727	7	15.38912135	15	0.974714518	24	0.333333333	0.000139143	2.481594468	2
