abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3205461	111.0451156	C6H8O2	O2	CHO	6	8	2	0	0	0	0	112.052392	111.045153	-0.334581873	0.334581873	111	110.9211216	0.078878411	3	0.333333333	1.333333333	1	8.619417654	8	0.928136949	14	0.571428571	1.67E-05	1	1
3483816	113.0243689	C5H6O3	O3	CHO	5	6	3	0	0	0	0	114.0316453	113.0244176	-0.427236165	0.427236165	113	112.8981649	0.101835132	3	0.6	1.2	0	8.771668774	8	0.912027142	12	0.5	1.81724E-05	1.086837743	1
4086331	125.0243769	C6H6O3	O3	CHO	6	6	3	0	0	0	0	126.0316533	125.0244176	-0.323038694	0.323038694	125	124.8847736	0.115226443	4	0.5	1	1	9.694745697	9	0.928337914	14	0.428571429	2.13153E-05	1.274802907	1
4785498	125.0607719	C7H10O2	O2	CHO	7	10	2	0	0	0	0	126.0680484	125.0608031	-0.247583104	0.247583104	125	124.9211279	0.078872076	3	0.285714286	1.428571429	1	9.697544582	9	0.928069979	16	0.625	2.49623E-05	1.492920363	1
7286799	127.0400312	C6H8O3	O3	CHO	6	8	3	0	0	0	0	128.0473077	127.0400677	-0.284582799	0.284582799	127	126.8981772	0.101822804	3	0.5	1.333333333	0	9.849795702	9	0.913724535	14	0.571428571	3.80096E-05	2.273245252	2
3380391	128.0352714	C5H7NO3	NO3	CHNO	5	7	3	1	0	0	0	129.0425478	128.0353166	-0.350653686	0.350653686	128	127.8923061	0.107693932	3	0.6	1.4	0	9.926353315	9	0.906677378	12	0.583333333	1.76329E-05	1.054572494	1
4415396	129.0193315	C5H6O4	O4	CHO	5	6	4	0	0	0	0	130.0266079	129.0193322	-0.005874696	0.005874696	129	128.8752673	0.124732674	3	0.8	1.2	-1	10.00204682	9	0.899815824	12	0.5	2.30317E-05	1.377460528	1
5901782	129.0557135	C6H10O3	O3	CHO	6	10	3	0	0	0	0	130.0629899	129.0557177	-0.032727437	0.032727437	129	128.9116087	0.088391285	2	0.5	1.666666667	-1	10.00484571	9	0.899564098	14	0.714285714	3.07851E-05	1.841164812	2
3387694	131.0349722	C5H8O4	O4	CHO	5	8	4	0	0	0	0	132.0422486	131.0349823	-0.076740639	0.076740639	131	130.8886573	0.111342661	2	0.8	1.6	-2	10.15709683	9	0.886079965	12	0.666666667	1.7671E-05	1.056850793	1
6019373	135.0815196	C9H12O	O	CHO	9	12	1	0	0	0	0	136.088796	135.0815386	-0.139608296	0.139608296	135	134.9306863	0.069313678	4	0.111111111	1.333333333	3	10.46837039	10	0.95525852	20	0.6	3.13985E-05	1.877849395	2
5642481	136.0767969	C8H11NO	NO	CHNO	8	11	1	1	0	0	0	137.0840733	136.0767875	0.068340416	0.068340416	136	135.9248523	0.07514767	4	0.125	1.375	3	10.544928	10	0.948323213	18	0.611111111	2.94325E-05	1.7602713	2
7199905	137.0244112	C7H6O3	O3	CHO	7	6	3	0	0	0	0	138.0316877	137.0244176	-0.046241095	0.046241095	137	136.8714085	0.128591458	5	0.428571429	0.857142857	2	10.61782262	10	0.941812682	16	0.375	3.75564E-05	2.246137139	2
14687470	137.0607982	C8H10O2	O2	CHO	8	10	2	0	0	0	0	138.0680747	137.0608031	-0.035312263	0.035312263	137	136.9077549	0.092245076	4	0.25	1.25	2	10.6206215	10	0.941564483	18	0.555555556	7.66133E-05	4.58201488	5
4920635	137.0972202	C9H14O	O	CHO	9	14	1	0	0	0	0	138.1044967	137.0971886	0.229042188	0.229042188	137	136.9441363	0.055863732	3	0.111111111	1.555555556	2	10.62342039	10	0.941316415	20	0.7	2.56672E-05	1.53507873	2
8480077	138.0560386	C7H9NO2	NO2	CHNO	7	9	2	1	0	0	0	139.063315	138.0560521	-0.097135622	0.097135622	138	137.901884	0.098116027	4	0.285714286	1.285714286	2	10.69717912	10	0.934825891	16	0.5625	4.42341E-05	2.645509335	3
3475869	138.0924526	C8H13NO	NO	CHNO	8	13	1	1	0	0	0	139.099729	138.0924376	0.107830893	0.107830893	138	137.9382573	0.061742675	3	0.125	1.625	2	10.699978	10	0.934581361	18	0.722222222	1.81309E-05	1.084358537	1
14169561	139.0400709	C7H8O3	O3	CHO	7	8	3	0	0	0	0	140.0473474	139.0400677	0.023193088	0.023193088	139	138.8848175	0.115182467	4	0.428571429	1.142857143	1	10.77287262	10	0.928257518	16	0.5	7.39117E-05	4.420444048	4
10373676	139.0764479	C8H12O2	O2	CHO	8	12	2	0	0	0	0	140.0837244	139.0764532	-0.037439273	0.037439273	139	138.9211539	0.078846074	3	0.25	1.5	1	10.77567151	10	0.928016411	18	0.666666667	5.41115E-05	3.236250886	3
4845761	140.0353103	C6H7NO3	NO3	CHNO	6	7	3	1	0	0	0	141.0425867	140.0353166	-0.045265586	0.045265586	140	139.8789456	0.121054417	4	0.5	1.166666667	1	10.84943024	10	0.921707387	14	0.5	2.52766E-05	1.511720467	2
3613462	140.0717203	C7H11NO2	NO2	CHNO	7	11	2	1	0	0	0	141.0789967	140.0717022	0.128459042	0.128459042	140	139.9153149	0.084685061	3	0.285714286	1.571428571	1	10.85222912	10	0.921469671	16	0.6875	1.88487E-05	1.127283096	1
5616588	141.0193436	C6H6O4	O4	CHO	6	6	4	0	0	0	0	142.0266201	141.0193322	0.080067786	0.080067786	141	140.8618801	0.138119859	4	0.666666667	1	0	10.92512374	10	0.91532144	14	0.428571429	2.92974E-05	1.752193522	2
9885730	141.0557096	C7H10O3	O3	CHO	7	10	3	0	0	0	0	142.0629861	141.0557177	-0.057164855	0.057164855	141	140.8982055	0.101794453	3	0.428571429	1.428571429	0	10.92792263	10	0.915087006	16	0.625	5.15663E-05	3.084027539	3
11361019	143.0349793	C6H8O4	O4	CHO	6	8	4	0	0	0	0	144.0422557	143.0349823	-0.020809064	0.020809064	143	142.8752652	0.124734841	3	0.666666667	1.333333333	-1	11.08017375	10	0.902512923	14	0.571428571	5.92617E-05	3.544269919	4
4225878	143.0713763	C7H12O3	O3	CHO	7	12	3	0	0	0	0	144.0786528	143.0713678	0.059063983	0.059063983	143	142.9116215	0.08837847	2	0.428571429	1.714285714	-1	11.08297263	10	0.902285003	16	0.75	2.20432E-05	1.31833705	1
3953432	145.0658808	C10H10O	O	CHO	10	10	1	0	0	0	0	146.0731573	145.0658885	-0.052319091	0.052319091	145	144.903899	0.096101012	6	0.1	1	5	11.2363973	11	0.978961468	22	0.454545455	2.0622E-05	1.233342724	1
3956945	146.0247221	C8H5NO2	NO2	CHNO	8	5	2	1	0	0	0	147.0319986	146.024752	-0.203056818	0.203056818	146	145.8616696	0.138330406	7	0.25	0.625	5	11.31015603	11	0.97257721	18	0.277777778	2.06403E-05	1.234438666	1
3642672	146.0611531	C9H9NO	NO	CHNO	9	9	1	1	0	0	0	147.0684296	146.0611375	0.10640357	0.10640357	146	145.8980599	0.101940075	6	0.111111111	1	5	11.31295492	11	0.972336589	20	0.45	1.9001E-05	1.13639567	1
3483495	146.0822521	C6H13NO3	NO3	CHNO	6	13	3	1	0	0	0	147.0895286	146.0822668	-0.100061127	0.100061127	146	145.9191354	0.080864629	1	0.5	2.166666667	-2	11.31458025	10	0.883815376	14	0.928571429	1.81707E-05	1.086737602	1
4214565	147.0299034	C5H8O5	O5	CHO	5	8	5	0	0	0	0	148.0371798	147.0298969	0.043625017	0.043625017	147	146.8657285	0.134271531	2	1	1.6	-3	11.38747487	10	0.87815781	12	0.666666667	2.19842E-05	1.314807761	1
7027533	147.0451414	C9H8O2	O2	CHO	9	8	2	0	0	0	0	148.0524178	147.045153	-0.078829479	0.078829479	147	146.8809495	0.119050542	6	0.222222222	0.888888889	4	11.38864842	11	0.965874052	20	0.4	3.66572E-05	2.192362659	2
11264941	147.0815284	C10H12O	O	CHO	10	12	1	0	0	0	0	148.0888048	147.0815386	-0.068651044	0.068651044	147	146.9172958	0.082704162	5	0.1	1.2	4	11.39144731	11	0.965636736	22	0.545454545	5.87606E-05	3.514296696	4
5141925	148.0404026	C8H7NO2	NO2	CHNO	8	7	2	1	0	0	0	149.0476791	148.040402	0.004160567	0.004160567	148	147.8750994	0.124900593	6	0.25	0.875	4	11.46520604	11	0.959424538	18	0.388888889	2.68215E-05	1.604114042	2
3743736	149.0244239	C8H6O3	O3	CHO	8	6	3	0	0	0	0	150.0317004	149.0244176	0.041995329	0.041995329	149	148.8580219	0.141978096	6	0.375	0.75	3	11.54089954	11	0.953131943	18	0.333333333	1.95282E-05	1.167924364	1
3798038	149.0356549	C7H6N2O2	N2O2	CHNO	7	6	2	2	0	0	0	150.0429314	149.035651	0.026066794	0.026066794	149	148.8692404	0.130759634	6	0.285714286	0.857142857	4	11.54176365	11	0.953060584	16	0.375	1.98115E-05	1.184864829	1
12886106	149.0608109	C9H10O2	O2	CHO	9	10	2	0	0	0	0	150.0680874	149.0608031	0.052010222	0.052010222	149	148.8943683	0.105631717	5	0.222222222	1.111111111	3	11.54369843	11	0.952900846	20	0.5	6.72169E-05	4.020047662	4
11157692	149.0971949	C10H14O	O	CHO	10	14	1	0	0	0	0	150.1044714	149.0971886	0.042034176	0.042034176	149	148.9307117	0.069288334	4	0.1	1.4	3	11.54649731	11	0.952669862	22	0.636363636	5.82011E-05	3.480838482	3
7082721	150.0560422	C8H9NO2	NO2	CHNO	8	9	2	1	0	0	0	151.0633186	150.0560521	-0.065561353	0.065561353	150	149.8884883	0.111511734	5	0.25	1.125	3	11.62025604	11	0.946622859	18	0.5	3.69451E-05	2.209579527	2
15007064	151.0400704	C8H8O3	O3	CHO	8	8	3	0	0	0	0	152.0473469	151.0400677	0.018261379	0.018261379	151	150.8714178	0.128582245	5	0.375	1	2	11.69594955	11	0.940496533	18	0.444444444	7.82803E-05	4.681717856	5
22859196	151.0764555	C9H12O2	O2	CHO	9	12	2	0	0	0	0	152.0837319	151.0764532	0.014998564	0.014998564	151	150.9077621	0.092237864	4	0.222222222	1.333333333	2	11.69874843	11	0.940271522	20	0.6	0.000119239	7.131328692	7
