AO_A_1	AO_A_2	AO_A_3	AO_O_1	AO_O_2	AO_O_3	phylum
0	0	0	0	0	0	Micrarchaeota
93599	101392	80883	88980	105336	95286	Iainarchaeota
4425426	4800311	3908115	4337928	4636028	4411606	Bacteroidota
3957952	3691472	4079700	3825934	4064956	4187570	Gammaproteobacteria
107904	119799	95148	62096	67787	59693	Campylobacterota
98857	99277	94397	96730	106328	101626	Cyanobacteria
1192212	1016013	1251202	1228949	1234879	1358943	Actinobacteriota
68640	66615	67586	62106	64345	63940	Armatimonadota
521928	543505	485562	526729	540447	536385	Patescibacteria
1332590	1294814	1311751	1301790	1380749	1374787	Chloroflexota
210697	188131	212993	217400	225553	234297	Verrucomicrobiota
300319	281101	302084	299603	303397	319441	Planctomycetota
84370	92787	71475	89818	96533	89175	Spirochaetota
0	0	0	0	0	0	UBP7
140837	151732	121653	134009	147572	137180	Others
0	0	0	0	0	0	Gemmatimonadota
66090	59798	69210	57404	68735	67209	ARS69
153711	159554	143781	142063	159113	153328	Zixibacteria
659873	631460	680612	645565	685409	706081	Alphaproteobacteria
0	0	0	0	0	0	Dependentiae
1143385	1088081	1145566	1173641	1186858	1240182	Nitrospirota
604192	574452	623359	574807	633024	630833	Myxococcota
179673	187235	163470	176615	188606	180929	Bdellovibrionota
947974	920367	949586	896505	968133	974376	Acidobacteriota
139399	149923	123333	131109	142499	138228	Omnitrophota
225910	225958	210653	202304	229077	219782	Elusimicrobiota
