phylum,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Micrarchaeota,1197.518023,13.2393412,0.834431621,15.86629852,1.08E-56,2.35E-56
Iainarchaeota,1902.445058,-14.9172885,0.593193539,-25.14742242,1.51E-139,7.84E-139
Bacteroidota,250719.2057,-0.146087817,0.036728507,-3.977504858,6.96E-05,7.87E-05
Gammaproteobacteria,249865.561,0.084783942,0.025001387,3.39116952,0.00069595,0.000753946
Campylobacterota,3316.703615,-1.13804074,0.175691505,-6.477494399,9.33E-11,1.28E-10
Cyanobacteria,7098.303401,0.341048826,0.029314872,11.63398634,2.77E-31,4.80E-31
Actinobacteriota,68415.62161,-0.154177214,0.033894877,-4.548687862,5.40E-06,6.68E-06
Armatimonadota,5563.346116,0.678234355,0.043018127,15.7662455,5.31E-56,1.06E-55
Patescibacteria,27903.97377,-0.297295103,0.028692744,-10.36133392,3.72E-25,6.04E-25
Chloroflexota,93343.0737,0.304449763,0.036138995,8.424411539,3.63E-17,5.55E-17
Verrucomicrobiota,16598.00888,0.502204317,0.023264662,21.58657279,2.40E-103,8.92E-103
Planctomycetota,19226.12924,0.114692539,0.024075045,4.763959509,1.90E-06,2.47E-06
Spirochaetota,6447.745972,0.409255404,0.050097843,8.169122192,3.11E-16,4.49E-16
UBP7,2927.519106,14.52896651,0.833770021,17.42562833,5.27E-68,1.25E-67
Others,2804.877082,-15.47737339,0.592564785,-26.11929324,2.20E-150,1.43E-149
Gemmatimonadota,9445.143577,16.2188757,0.833371122,19.46176832,2.32E-84,7.53E-84
ARS69,2828.983723,-0.777589943,0.041222084,-18.86343108,2.28E-79,6.58E-79
Zixibacteria,5661.581134,-1.242732577,0.033665267,-36.91438334,2.72E-298,7.06E-297
Alphaproteobacteria,39711.89766,-0.039987069,0.019935949,-2.00577705,0.04488004,0.046675242
Dependentiae,3579.734958,14.81914001,0.833804835,17.77291206,1.15E-70,2.98E-70
Nitrospirota,52773.23259,-0.67922415,0.023803444,-28.53470066,4.35E-179,3.77E-178
Myxococcota,51276.73264,0.672669881,0.027385411,24.56307428,3.14E-133,1.36E-132
Bdellovibrionota,13921.25725,0.506826048,0.033089207,15.31695961,5.89E-53,1.09E-52
Acidobacteriota,52341.4744,-0.1925081,0.043687271,-4.40650319,1.05E-05,1.24E-05
Omnitrophota,8285.069303,-0.011553407,0.039171994,-0.29494049,0.768039341,0.768039341
Elusimicrobiota,8084.593155,-1.271237186,0.034766117,-36.56540633,1.01E-292,1.32E-291
