sample	nformula	Lipid	Protein	Amino_sugar	Carbohydrate	Condensed_aromatics	Lignin	Tannin	Others	CHO	CHNO	CHOP	CHOS	CHNOP	CHNOS	CHNOSP	Cl_containing	MWAVG	H.CAVG	O.CAVG	AImodAVG	DBEAVG	NOSC	MLBL	Chao1	nheteroatomicClass	rLipid	rProtein	rAmino_sugar	rCarbohydrate	rCondensed_aromatics	rLignin	rTannin	rOthers	rCHO	rCHNO	rCHOP	rCHOS	rCHNOP	rCHNOS	rCHNOSP	rCl_containing
Influent	1286	95	70	13	14	132	179	4	779	418	428	15	111	2	0	0	312	396.5872	1.584608	0.2708095	3.85801E-05	6.213841	-0.6880833	61.8196	1291.37	177	0.073872473	0.054432348	0.010108865	0.01088647	0.102643857	0.139191291	0.00311042	0.605754277	0.32503888	0.33281493	0.011664075	0.086314152	0.00155521	0	0	0.242612753
AGC	1418	7	97	29	7	75	379	15	809	593	649	0	0	3	26	0	147	385.3941	1.478719	0.322553	0.08436704	6.852609	-0.4849838	50	1429.14	135	0.00493653	0.068406206	0.02045134	0.00493653	0.052891396	0.267277856	0.010578279	0.570521862	0.41819464	0.457686883	0	0	0.002115656	0.018335684	0	0.103667137
A2O_PRE	5679	191	45	15	17	1104	2230	148	1929	2339	2235	2	418	31	135	0	519	353.1776	1.257309	0.3337157	0.29476	8.20655	-0.3264607	25.67353	5703.8	229	0.033632682	0.00792393	0.00264131	0.002993485	0.194400423	0.392674767	0.026060926	0.339672478	0.411868287	0.393555203	0.000352175	0.073604508	0.005458708	0.023771791	0	0.091389329
A2O_A1	4504	178	40	11	10	814	1729	66	1656	2004	1519	6	473	20	78	0	404	352.8544	1.302311	0.3155859	0.2613302	7.754885	-0.4709824	30.75044	4526.6	196	0.039520426	0.008880995	0.002442274	0.002220249	0.180728242	0.383880995	0.014653641	0.367673179	0.444937833	0.337255773	0.001332149	0.105017762	0.004440497	0.01731794	0	0.089698046
A2O_A2	4767	255	47	14	15	1400	1352	88	1596	1873	1887	5	504	41	124	0	333	322.4414	1.215772	0.2836189	0.3309474	8.203902	-0.3587041	24.64863	4785.97	206	0.053492763	0.00985945	0.002936858	0.003146633	0.293685756	0.28361653	0.018460248	0.334801762	0.392909587	0.395846444	0.001048878	0.105726872	0.008600797	0.026012167	0	0.069855255
A2O_O	5320	169	37	13	24	1016	2246	202	1613	2296	2255	2	400	37	41	0	289	354.6639	1.240677	0.349881	0.2864153	8.351692	-0.2648063	23.28947	5332.49	212	0.031766917	0.006954887	0.002443609	0.004511278	0.190977444	0.422180451	0.037969925	0.303195489	0.431578947	0.42387218	0.00037594	0.07518797	0.006954887	0.007706767	0	0.054323308
A2O_SED	5483	147	35	20	22	875	2560	193	1631	2276	2133	1	460	44	26	2	541	370.3236	1.260434	0.3548039	0.2771367	8.305672	-0.3354673	24.31151	5501.77	237	0.02681014	0.006383367	0.003647638	0.004012402	0.159584169	0.466897684	0.035199708	0.297464891	0.415101222	0.389020609	0.000182382	0.083895678	0.008024804	0.00474193	0.000364764	0.098668612
AO_A	1049	43	53	23	8	119	203	10	590	292	499	20	32	43	0	0	163	362.1735	1.581803	0.3049697	0.002589984	5.881792	-0.5479273	60.34318	1085.2	190	0.04099142	0.050524309	0.021925643	0.007626311	0.113441373	0.193517636	0.009532888	0.562440419	0.278360343	0.475691134	0.019065777	0.030505243	0.04099142	0	0	0.155386082
AO_O	6426	102	15	35	18	776	3462	387	1631	2597	2400	26	572	54	59	0	718	389.125	1.212892	0.401555	0.2903927	8.782885	-0.2188437	19.90096	6482.14	267	0.015873016	0.002334267	0.005446623	0.00280112	0.120759415	0.538748833	0.06022409	0.253812636	0.404139434	0.373482726	0.004046063	0.089013383	0.008403361	0.00918145	0	0.111733582
AO_SED	7219	132	42	51	41	883	3528	404	2138	2728	2930	61	416	118	170	0	796	386.0519	1.238161	0.3967823	0.2735321	8.53844	-0.2336129	23.67364	7227.18	311	0.018285081	0.00581798	0.00706469	0.005679457	0.12231611	0.488710348	0.05596343	0.296162903	0.377891675	0.40587339	0.008449924	0.05762571	0.016345754	0.023548968	0	0.11026458
Mix	5521	187	41	15	28	1155	2150	174	1771	2293	2312	12	431	47	28	0	398	351.7619	1.248177	0.3439147	0.2660394	8.289259	-0.2692603	24.94113	5538.77	225	0.033870676	0.007426191	0.002716899	0.005071545	0.209201232	0.389422206	0.03151603	0.320775222	0.415323311	0.418764717	0.002173519	0.078065568	0.008512951	0.005071545	0	0.07208839
Effluent	6308	181	51	23	31	1285	2693	210	1834	2345	2160	3	742	63	122	0	873	344.9933	1.211663	0.337925	0.3192202	8.165187	-0.3312901	21.7026	6325.07	261	0.028693722	0.008084971	0.003646164	0.004914394	0.203709575	0.426918199	0.033291059	0.290741915	0.371750159	0.342422321	0.000475587	0.117628408	0.009987318	0.01934052	0	0.138395688
