genome	A2O_PRE	A2O_A1	A2O_A2	A2O_O	AO_A	AO_O
A2O.62	525.4787333	530.0198367	509.81478	511.4272467	380.0817567	369.97333
A2O.87	1631.880867	1574.006333	1571.929067	1459.810233	682.6198167	645.0746
AO.75	1032.430327	1096.8548	1025.519333	1068.35308	749.1656	751.3986333
A2O.58	656.2132133	765.7996333	642.8051067	822.6059633	766.7817333	858.1355333
A2O.73	2460.0955	2609.784367	2418.295067	2610.1325	1452.508533	1453.4414
AO.59	3940.1767	3977.793533	4160.222233	3751.551933	4904.113	5028.3956
AO.32	972.5359633	1020.190747	911.06622	1046.0719	1184.654353	1209.735167
AO.43	246.3851733	256.3090067	245.966	254.18779	308.69524	321.9173533
A2O.15	778.96415	826.9234	745.5512467	815.0085	709.3602533	713.1646633
AO.63	322.9093633	376.6992067	298.96093	412.0158667	933.0660333	960.69765
A2O.61	960.58915	951.51165	979.3018533	817.8328167	217.6837167	227.4095767
A2O.101	583.3881667	569.2907	597.2292533	579.2597433	436.62906	461.92761
A2O.80	906.5365333	945.90478	870.04368	924.4419333	761.7604967	774.7714667
A2O.114	2038.380933	2020.505233	2019.5918	2029.367933	1996.604933	2091.927433
A2O.74	949.5608467	706.14658	919.2300667	435.5247533	999.8609533	1030.4231
A2O.26	1624.252333	1732.390867	1646.588467	1706.626933	1126.055633	1155.994353
A2O.125	1376.2257	1416.206467	1428.676267	1453.485767	967.1295533	986.0281
AO.28	3795.310233	4200.245833	3867.419333	4125.3491	4165.8764	4141.059833
A2O.77	818.4223467	836.00607	832.9327167	785.7086	474.49774	490.9478367
AO.46	2726.7327	3082.738733	2725.7133	3241.324733	2337.150433	2366.440267
AO.35	6256.4964	6426.46	6297.670233	6645.667967	8080.003833	8197.128167
AO.90	493.6073233	581.6151233	477.1720033	626.8333	613.86274	696.2327667
A2O.117	687.538	688.9572	706.3344667	398.5951933	605.7331133	621.4892067
A2O.79	1206.306913	1256.921533	1204.340153	1231.589553	1011.924363	1035.1836
AO.36	879.3751833	914.3219333	903.75915	941.8173333	1230.881133	1252.354
A2O.43	1190.576717	1227.918567	1247.667	1233.311733	1249.003083	1282.959233
A2O.140	3011.368733	3264.909	3111.3466	3194.463467	2676.057167	2652.1109
A2O.95	1333.430933	1437.8343	1339.6646	1386.335867	1154.650387	1174.285
AO.83	1555.466	1593.3433	1577.314067	1188.83487	4578.508433	4742.428067
A2O.83	1209.239133	1264.0038	1134.842047	1284.458967	901.2559667	921.3519167
A2O.2	938.41811	956.9085867	929.5369667	991.1027	527.33723	522.6855867
AO.62	2182.410467	2229.622367	2247.0359	2349.039033	1601.2936	1621.256233
AO.65	2134.4732	2050.3684	2431.799833	1061.20593	1766.237467	1796.894633
AO.50	3740.531767	3806.821	3846.275533	3730.6926	3277.958133	3687.6271
AO.4	406.82302	405.92945	412.78474	415.9094267	635.59921	681.6393
A2O.47	2241.043333	2265.597833	2465.176367	2338.6466	1396.604733	1372.912933
AO.14	559.0735333	565.8630167	528.94349	584.57953	616.97442	619.2242867
AO.70	0	0	0	0	432.4952033	457.6663533
A2O.116	1074.05048	1290.021833	1113.028533	1418.846933	809.6218467	847.9479167
A2O.131	1634.272867	1674.458833	1667.7412	1661.4241	812.08115	820.9489267
A2O.112	7868.637	8225.362	7609.283933	8678.212167	3758.950633	3686.659333
A2O.154	437.5414667	427.3415233	428.37844	468.58913	393.9399567	409.73251
AO.68	743.0341667	683.2369633	747.9287867	583.6055133	1626.601133	1706.1552
A2O.97	1946.418533	2092.823867	2045.102067	2163.446667	1720.569533	1734.3868
AO.84	94.50513333	102.4016167	100.46714	98.63604	1380.743333	1395.870367
A2O.31	1636.378733	1734.7131	1698.756067	1664.011467	1652.000267	1691.876233
A2O.45	4043.844633	4096.0097	3915.9198	3520.626433	2431.154867	2446.644633
A2O.99	1067.233367	765.48775	949.0139533	340.5459967	1356.658333	1299.4203
A2O.34	2607.701933	2645.722733	2878.848	2644.302733	2060.3913	2025.962367
A2O.152	547.70738	588.28733	530.5878633	576.2564133	600.0878267	613.62462
AO.64	142.0831367	144.25503	146.16483	143.4648933	236.3291533	244.5681133
A2O.98	1633.2375	1691.487033	1553.620133	1761.319367	531.3125933	564.8000667
A2O.102	1509.569233	1564.371267	1616.379033	1623.496067	456.3805367	475.8122
AO.18	3605.1046	3746.330767	3552.3675	3940.6864	4550.9103	4587.022867
A2O.123	1632.434833	1755.716967	1790.108833	1808.379433	2027.055833	2053.565067
AO.82	161.8126067	158.7938367	150.09154	181.64035	402.4521267	443.51205
A2O.84	1223.9796	1416.358867	1321.144167	1562.670333	1920.896	1903.438133
A2O.115	540.0465067	574.8293133	451.3979767	613.1605867	239.9280167	247.52163
AO.8	190.5265567	190.0926067	180.16407	199.21314	1591.4325	1551.3151
A2O.159	1778.7961	1831.751033	1793.8574	1393.602067	5008.069833	5194.529133
A2O.134	3536.425067	3590.205833	3624.636867	3483.836633	2966.510233	3361.256367
