genome	module	desc	find	need	completeness
A2O.1	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.72	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.116	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
A2O.95	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.43	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.131	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.83	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.98	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.85	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.7	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.3	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.126	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.76	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.50	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.84	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.122	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.32	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.11	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.97	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.10	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.9	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.14	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.133	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.25	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.99	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.71	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.26	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.88	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.92	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.105	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.94	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.103	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.46	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.28	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.72	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.89	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.34	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.73	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.148	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.156	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.71	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.20	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.78	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.1	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.112	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
A2O.107	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.140	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.63	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.35	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.77	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.134	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.82	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.4	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.5	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.68	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.47	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.69	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
A2O.21	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.125	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.73	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.49	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.123	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.132	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.65	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.29	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.84	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
A2O.19	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
A2O.58	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.15	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.8	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.28	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.90	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
A2O.50	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.95	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.16	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.67	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.54	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.13	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.158	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.65	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.74	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.90	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.20	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.147	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.127	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.78	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
AO.33	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.53	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.157	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	2	2	100
A2O.33	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.119	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.22	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.15	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.34	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
A2O.155	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	2	50
AO.97	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	2	50
A2O.44	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	2	50
AO.17	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	2	50
A2O.70	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	2	50
AO.65	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	2	50
