node	description	type	module	module_descr	pathway	pathway_descr	node_type
C00010	CoA	Vitamins and Cofactors	NA	NA	NA	NA	compound
R07880	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6'''-O-hydroxycinnamoyltransferase	NA	NA	NA	map00942	Anthocyanin biosynthesis	reaction
C00223	p-Coumaroyl-CoA	NA	NA	NA	NA	NA	compound
C08725	Pelargonin	NA	NA	NA	NA	NA	compound
C16349	Pelargonidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)	NA	NA	NA	NA	NA	compound
C00001	H2O	NA	NA	NA	NA	NA	compound
R06200	1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose	NA	NA	NA	NA	NA	reaction
R07883	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6'''-O-hydroxycinnamoyltransferase	NA	NA	NA	map00942	Anthocyanin biosynthesis	reaction
C16312	Delphin	NA	NA	NA	NA	NA	compound
C16351	Delphinidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)	NA	NA	NA	NA	NA	compound
R07882	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6'''-O-hydroxycinnamoyltransferase	NA	NA	NA	map00942	Anthocyanin biosynthesis	reaction
C08639	Cyanin	NA	NA	NA	NA	NA	compound
C16350	Cyanidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)	NA	NA	NA	NA	NA	compound
C00015	UDP	Nucleic acids	NA	NA	NA	NA	compound
R07336	alpha-D-glucuronate:N-acetyl-beta-D-galactosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan 3-beta-glucuronosyltransferase	NA	NA	NA	NA	NA	reaction
C00167	UDP-glucuronate	NA	NA	NA	NA	NA	compound
C15577	N-Acetyl-beta-D-galactosaminyl-(1->4)-beta-D-glucuronosylproteoglycan	NA	NA	NA	NA	NA	compound
C15578	beta-D-Glucuronosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-(1->4)-beta-D-glucuronosylproteoglycan	NA	NA	NA	NA	NA	compound
R10096	UDP-alpha-D-glucose:2-deoxystreptamine 4-O-alpha-D-glucosyltransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C00029	UDP-glucose	Vitamins and Cofactors	NA	NA	NA	NA	compound
C02627	2-Deoxystreptamine	NA	NA	NA	NA	NA	compound
C20353	2'-Deamino-2'-hydroxyparomamine	NA	NA	NA	NA	NA	compound
R12188	L-cysteine-S-conjugate thiol-lyase (deaminating	NA	NA	NA	NA	NA	reaction
C00014	Ammonia	NA	NA	NA	NA	NA	compound
C00022	Pyruvate	Organic acids	NA	NA	NA	NA	compound
C00145	Thiol	NA	NA	NA	NA	NA	compound
C02882	L-Cysteine-S-conjugate	NA	NA	NA	NA	NA	compound
C00002	ATP	Nucleic acids,Vitamins and Cofactors	NA	NA	NA	NA	compound
R07887	ATP + 8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate + CoA <=> AMP + Diphosphate + OPC8-CoA	NA	M00113	Jasmonic acid biosynthesis	map01100	Metabolic pathways	reaction
C00013	Diphosphate	NA	NA	NA	NA	NA	compound
C00020	AMP	Nucleic acids	NA	NA	NA	NA	compound
C04780	8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate	NA	NA	NA	NA	NA	compound
C16327	OPC8-CoA	NA	NA	NA	NA	NA	compound
R12182	Iridotrial + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 7-Deoxyloganetate + [Oxidized NADPH---hemoprotein reductase] + H2O	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C00007	Oxygen	NA	NA	NA	NA	NA	compound
C03024	[Reduced NADPH---hemoprotein reductase]	NA	NA	NA	NA	NA	compound
C03161	[Oxidized NADPH---hemoprotein reductase]	NA	NA	NA	NA	NA	compound
C06070	Iridotrial	NA	NA	NA	NA	NA	compound
C20789	7-Deoxyloganetate	NA	NA	NA	NA	NA	compound
C08583	Canthaxanthin	NA	NA	NA	NA	NA	compound
