compound	reaction	type	A2O_abundance	AO_abundance
C00001	R06200	NA	0.5471698113207547	0.3673469387755102
C00001	R12188	NA	0.4779874213836478	0.3979591836734694
C00014	R12188	NA	0.4779874213836478	0.3979591836734694
C00022	R12188	NA	0.4779874213836478	0.3979591836734694
C00145	R12188	NA	0.4779874213836478	0.3979591836734694
C02882	R12188	NA	0.4779874213836478	0.3979591836734694
C08583	R12180	NA	0.3333333333333333	0.2653061224489796
C08592	R12180	NA	0.3333333333333333	0.2653061224489796
C03889	R12187	NA	0.006289308176100629	0.01020408163265306
C04233	R12187	NA	0.006289308176100629	0.01020408163265306
C04919	R12187	NA	0.006289308176100629	0.01020408163265306
C21982	R12187	NA	0.006289308176100629	0.01020408163265306
C00013	R10095	NA	0.4276729559748428	0.3979591836734694
C00119	R10095	NA	0.4276729559748428	0.3979591836734694
C02970	R10095	NA	0.4276729559748428	0.3979591836734694
C20352	R10095	NA	0.4276729559748428	0.3979591836734694
C00015	R01005	NA	0.3522012578616352	0.3163265306122449
C00029	R01005	NA	0.3522012578616352	0.3163265306122449
C00110	R01005	NA	0.3522012578616352	0.3163265306122449
C01246	R01005	NA	0.3522012578616352	0.3163265306122449
C00001	R01001	NA	0.44025157232704404	0.35714285714285715
C00014	R01001	NA	0.44025157232704404	0.35714285714285715
C00097	R01001	NA	0.44025157232704404	0.35714285714285715
C00109	R01001	NA	0.44025157232704404	0.35714285714285715
C02291	R01001	NA	0.44025157232704404	0.35714285714285715
C00003	R01000	NA	0.11949685534591195	0.061224489795918366
C00004	R01000	NA	0.11949685534591195	0.061224489795918366
C00080	R01000	NA	0.11949685534591195	0.061224489795918366
C00109	R01000	NA	0.11949685534591195	0.061224489795918366
C05984	R01000	NA	0.11949685534591195	0.061224489795918366
C00035	R01009	NA	2.4465408805031448	2.0
C00096	R01009	NA	2.4465408805031448	2.0
C00110	R01009	NA	2.4465408805031448	2.0
C03862	R01009	NA	2.4465408805031448	2.0
C00013	R03351	NA	0.6540880503144654	0.5612244897959183
C00063	R03351	NA	0.6540880503144654	0.5612244897959183
C01187	R03351	NA	0.6540880503144654	0.5612244897959183
C04121	R03351	NA	0.6540880503144654	0.5612244897959183
C00001	R03350	NA	0.5345911949685535	0.5306122448979592
C00009	R03350	NA	0.5345911949685535	0.5306122448979592
C01187	R03350	NA	0.5345911949685535	0.5306122448979592
C04478	R03350	NA	0.5345911949685535	0.5306122448979592
C00001	R03355	NA	0.23270440251572327	0.21428571428571427
C00124	R03355	NA	0.23270440251572327	0.21428571428571427
C01190	R03355	NA	0.23270440251572327	0.21428571428571427
C01290	R03355	NA	0.23270440251572327	0.21428571428571427
C00001	R01268	NA	0.20125786163522014	0.1326530612244898
C00014	R01268	NA	0.20125786163522014	0.1326530612244898
C00153	R01268	NA	0.20125786163522014	0.1326530612244898
